기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2016	합계	10,204,057	5,007,379	5,196,678	1,300,877	573,091	727,786	1,295,899	570,490	725,409	4,978	2,601	2,377
2016	종로구	161,922	79,322	82,600	25,091	10,979	14,112	24,950	10,895	14,055	141	84	57
2016	중구	134,409	66,452	67,957	20,606	8,965	11,641	20,388	8,852	11,536	218	113	105
2016	용산구	245,102	119,636	125,466	35,915	15,100	20,815	35,547	14,866	20,681	368	234	134
2016	성동구	307,161	152,006	155,155	39,262	17,074	22,188	39,140	17,005	22,135	122	69	53
2016	광진구	372,104	181,251	190,853	41,441	18,421	23,020	41,292	18,345	22,947	149	76	73
2016	동대문구	370,312	183,444	186,868	53,460	23,661	29,799	53,301	23,581	29,720	159	80	79
2016	중랑구	415,677	206,772	208,905	55,914	24,736	31,178	55,842	24,702	31,140	72	34	38
2016	성북구	461,617	224,504	237,113	64,015	27,555	36,460	63,878	27,492	36,386	137	63	74
2016	강북구	330,704	162,211	168,493	54,053	23,318	30,735	53,964	23,273	30,691	89	45	44
2016	도봉구	350,272	172,006	178,266	50,510	22,340	28,170	50,466	22,318	28,148	44	22	22
2016	노원구	571,212	277,866	293,346	70,887	29,295	41,592	70,819	29,263	41,556	68	32	36
2016	은평구	495,937	241,048	254,889	71,457	31,025	40,432	71,304	30,951	40,353	153	74	79
2016	서대문구	325,871	156,597	169,274	47,653	20,125	27,528	47,303	19,954	27,349	350	171	179
2016	마포구	390,887	186,668	204,219	48,303	20,257	28,046	48,060	20,136	27,924	243	121	122
2016	양천구	481,845	238,163	243,682	52,063	23,071	28,992	51,957	23,011	28,946	106	60	46
2016	강서구	602,104	293,734	308,370	71,062	31,242	39,820	70,889	31,137	39,752	173	105	68
2016	구로구	449,600	225,411	224,189	55,705	25,652	30,053	55,159	25,369	29,790	546	283	263
2016	금천구	254,654	130,429	124,225	32,279	14,699	17,580	31,976	14,540	17,436	303	159	144
2016	영등포구	406,779	204,712	202,067	51,844	23,411	28,433	51,186	23,073	28,113	658	338	320
2016	동작구	413,247	201,842	211,405	55,231	24,201	31,030	55,052	24,107	30,945	179	94	85
2016	관악구	525,607	265,034	260,573	66,952	30,150	36,802	66,659	30,013	36,646	293	137	156
2016	서초구	451,477	216,886	234,591	50,984	23,196	27,788	50,906	23,158	27,748	78	38	40
2016	강남구	572,140	274,217	297,923	61,931	27,906	34,025	61,822	27,849	33,973	109	57	52
2016	송파구	664,946	324,087	340,859	71,064	32,601	38,463	70,918	32,529	38,389	146	72	74
2016	강동구	448,471	223,081	225,390	53,195	24,111	29,084	53,121	24,071	29,050	74	40	34
