번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
135,서울시립영보노인요양원,경기도 용인시 처인구 이동면 ,,20130905,운영중,,,,,,,92,,,,,
136,보라매요양원,서울특별시 동작구 신대방동 345-10번지 ,,20101230,운영중,,,,,,,26,2,1,193577.113024       ,443886.239093       ,
137,서울시립영보노인요양원,경기도 용인시 처인구 이동면 묵리 ,,20160213,운영중,,,,,,,92,,,,,
138,보라매노인요양원,서울특별시 동작구 신대방동 345-10번지 ,,20100507,운영중,,,,,,,26,,,193577.113024       ,443886.239093       ,
139,수원보훈요양원,경기도 수원시 장안구 하광교동 428번지 ,,20100101,운영중,,,,,,,200,8,103,202225.324824       ,421819.784956       ,
140,성심의집 치매노인요양센터,서울특별시 동작구 상도동 7-55번지 ,,20090101,운영중,,,,,,,22,0,15,195822.746464       ,444769.855277       ,
141,종암요양원,서울특별시 성북구 종암동 ,,20160314,운영중,,,,,,,15,,3,,,운영
142,닥터참사랑요양원,서울특별시 용산구 원효로2가 ,,20170101,운영중,,,,,,,22,,13,,,운영
143,섬기는 실버 하우스,서울특별시 금천구 시흥동 비즈메드빌딩 ,,20170213,운영중,,,,,,,29,,12,,,운영
144,갈현 효 요양원,서울특별시 은평구 갈현동 ,,20180101,운영중,,,,,,,24,,5,,,운영
145,올리사랑 요양원,서울특별시 양천구 신월동 정세빌딩 3.4.5 층 ,,20180301,운영중,,,,,,,24,17,19,,,운영
146,나은요양원,서울특별시 관악구 신림동 ,,20180102,운영중,,,,,,,13,,,,,운영
147,행복마지요양원,서울특별시 강서구 화곡동 ,,20140715,운영중,,,,,,,29,,,,,운영
148,요안나요양원,서울특별시 강서구 화곡동 ,,20130701,운영중,,,,,,,87,,,,,운영
149,봄날강서요양원,서울특별시 강서구 방화동 ,,20131015,운영중,,,,,,,27,,,,,운영
150,선화요양원,서울특별시 강서구 등촌동 ,,20131125,운영중,,,,,,,42,,,,,운영
151,요안나복지센터,"서울특별시 강서구 화곡동 73-49번지 4층,5층 ",,20100301,운영중,,,,,,,33,1,15,186352.550071       ,449495.065765       ,운영
152,성모실버센터,서울특별시 강서구 화곡동 775-5번지 ,,20100301,운영중,,,,,,,56,1,21,187851.907513       ,447977.52187        ,운영
153,봄날서울요양원,서울특별시 강서구 방화동 486-6번지 ,,20100507,운영중,,,,,,,124,,,183087.143468       ,452456.96363        ,운영
154,(주)에프디에이서울지점 행복마지,"서울특별시 강서구 화곡동 342-35번지 근상프리즘 108호,2층 ",,20100720,운영중,,,,,,,26,1,5,186447.878194       ,447694.422765       ,운영
155,참사랑실버케어,서울특별시 강서구 화곡동 970-2번지 ,,20090727,운영중,,,,,,,39,5,6,186614.431264       ,449481.253638       ,운영
156,한사랑요양원,서울특별시 강서구 화곡동 372-18번지 ,,20090904,운영중,,,,,,,26,6,7,185532.406459       ,448172.158928       ,운영
157,강서맑은노인요양원,서울특별시 강서구 화곡동 111-70번지 두산빌딩 ,,20100301,운영중,,,,,,,22,,20,186166.336267       ,449256.268764       ,운영
158,한마음노인전문요양원,서울특별시 강서구 화곡동 58-11번지 ,,20090107,운영중,,,,,,,26,12,12,186506.119717       ,448757.560525       ,운영
159,봄날실버센터,서울특별시 강서구 방화동 592-23번지 ,,20090320,운영중,,,,,,,42,17,18,183273.715884       ,451865.513591       ,운영
160,시니어스 너싱홈,서울특별시 강서구 등촌동 637번지 ,,20080501,운영중,,,,,,,56,9,21,187494.079333       ,450527.699601       ,운영
161,호선실버센터,서울특별시 강서구 내발산동 ,,20080227,운영중,,,,,,,110,3,4,,,운영
162,한마음노인전문요양원,서울특별시 강서구 화곡동 24-571번지 ,,20080401,운영중,,,,,,,14,2,5,186412.970138       ,449581.397185       ,운영
