기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	동대문구	제기동	29,788	15,089	14,699	3,972	1,763	2,209
2010	동대문구	전농1동	28,861	14,884	13,977	3,851	1,730	2,121
2010	동대문구	전농2동	20,246	9,932	10,314	2,342	1,025	1,317
2010	동대문구	답십리1동	21,399	10,766	10,633	2,472	1,070	1,402
2010	동대문구	답십리2동	32,853	16,284	16,569	3,573	1,548	2,025
2010	동대문구	장안1동	37,804	19,052	18,752	3,498	1,590	1,908
2010	동대문구	장안2동	33,188	16,786	16,402	2,987	1,300	1,687
2010	동대문구	이문1동	35,114	17,465	17,649	3,598	1,538	2,060
2010	동대문구	이문2동	24,531	12,083	12,448	2,377	1,036	1,341
2010	중랑구	소계	432,302	216,255	216,047	41,803	18,160	23,643
2010	중랑구	면목2동	29,536	14,950	14,586	2,729	1,145	1,584
2010	중랑구	면목4동	23,804	11,724	12,080	2,281	1,012	1,269
2010	중랑구	면목5동	14,764	7,563	7,201	1,495	662	833
2010	중랑구	면목7동	26,701	13,305	13,396	2,598	1,134	1,464
2010	중랑구	상봉1동	26,446	13,081	13,365	2,267	917	1,350
2010	중랑구	상봉2동	19,006	9,615	9,391	1,994	906	1,088
2010	중랑구	중화1동	22,486	11,177	11,309	1,934	857	1,077
2010	중랑구	중화2동	32,147	16,525	15,622	3,375	1,526	1,849
2010	중랑구	묵1동	35,076	17,290	17,786	3,391	1,520	1,871
2010	중랑구	묵2동	20,534	10,323	10,211	2,074	923	1,151
2010	중랑구	망우3동	19,935	10,037	9,898	1,970	873	1,097
2010	중랑구	신내1동	32,769	16,229	16,540	3,082	1,306	1,776
2010	중랑구	신내2동	25,749	12,609	13,140	2,366	947	1,419
2010	중랑구	면목본동	37,897	18,905	18,992	3,551	1,573	1,978
2010	중랑구	면목3.8동	30,535	15,306	15,229	3,128	1,340	1,788
2010	중랑구	망우본동	34,917	17,616	17,301	3,568	1,519	2,049
2010	성북구	소계	497,692	245,659	252,033	53,113	22,930	30,183
2010	성북구	돈암1동	17,240	8,336	8,904	1,905	788	1,117
2010	성북구	돈암2동	24,527	11,920	12,607	2,294	957	1,337
2010	성북구	안암동	18,591	9,402	9,189	1,781	755	1,026
2010	성북구	보문동	16,487	8,234	8,253	1,848	803	1,045
2010	성북구	정능1동	21,401	10,228	11,173	2,242	925	1,317
2010	성북구	정능2동	25,131	12,457	12,674	2,856	1,253	1,603
2010	성북구	정능3동	18,909	9,455	9,454	2,363	984	1,379
2010	성북구	정능4동	28,451	14,009	14,442	3,094	1,364	1,730
2010	성북구	길음1동	36,642	17,868	18,774	3,025	1,298	1,727
2010	성북구	길음2동	20,628	10,152	10,476	2,343	990	1,353
2010	성북구	월곡1동	29,368	14,626	14,742	2,986	1,298	1,688
2010	성북구	월곡2동	21,799	10,747	11,052	2,413	1,086	1,327
2010	성북구	장위1동	27,593	13,774	13,819	2,834	1,252	1,582
2010	성북구	장위2동	24,159	12,208	11,951	2,762	1,220	1,542
2010	성북구	장위3동	20,283	10,398	9,885	2,322	1,044	1,278
2010	성북구	성북동	19,953	9,586	10,367	2,605	1,140	1,465
2010	성북구	삼선동	27,999	13,637	14,362	3,136	1,298	1,838
2010	성북구	동선동	16,299	7,447	8,852	1,848	790	1,058
2010	성북구	종암동	43,371	21,620	21,751	4,334	1,839	2,495
2010	성북구	석관동	38,861	19,555	19,306	4,122	1,846	2,276
2010	강북구	소계	350,007	173,373	176,634	41,641	18,387	23,254
2010	강북구	번1동	21,233	10,483	10,750	2,376	1,100	1,276
2010	강북구	번2동	20,722	10,217	10,505	2,563	1,116	1,447
2010	강북구	번3동	21,776	10,570	11,206	3,011	1,328	1,683
2010	강북구	수유1동	24,012	12,051	11,961	2,887	1,289	1,598
2010	강북구	수유2동	23,915	11,821	12,094	3,160	1,381	1,779
2010	강북구	수유3동	24,344	12,095	12,249	3,063	1,397	1,666
2010	강북구	삼양동	33,296	16,649	16,647	3,610	1,547	2,063
2010	강북구	미아동	24,967	12,519	12,448	2,801	1,264	1,537
2010	강북구	송중동	35,907	17,509	18,398	4,199	1,897	2,302
2010	강북구	송천동	33,145	16,612	16,533	4,052	1,798	2,254
2010	강북구	삼각산동	30,654	15,102	15,552	2,464	986	1,478
2010	강북구	우이동	22,023	11,052	10,971	3,067	1,353	1,714
2010	강북구	인수동	34,013	16,693	17,320	4,388	1,931	2,457
2010	도봉구	소계	370,734	183,283	187,451	38,185	16,632	21,553
2010	도봉구	쌍문1동	22,851	11,200	11,651	2,680	1,216	1,464
2010	도봉구	쌍문2동	21,785	10,725	11,060	2,413	1,032	1,381
2010	도봉구	쌍문3동	18,823	9,201	9,622	2,145	962	1,183
2010	도봉구	쌍문4동	22,037	10,668	11,369	1,889	744	1,145
2010	도봉구	방학1동	32,894	16,465	16,429	3,124	1,425	1,699
2010	도봉구	방학2동	24,805	12,532	12,273	2,625	1,119	1,506
2010	도봉구	방학3동	32,721	16,102	16,619	2,870	1,148	1,722
2010	도봉구	창1동	29,430	14,366	15,064	2,955	1,239	1,716
2010	도봉구	창2동	31,716	15,685	16,031	2,954	1,299	1,655
2010	도봉구	창3동	16,627	8,396	8,231	1,753	767	986
