기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	강남구	소계	577,070	277,932	299,138	44,095	19,312	24,783
2010	강남구	신사동	21,323	10,011	11,312	2,095	970	1,125
2010	강남구	논현1동	28,338	13,319	15,019	2,007	921	1,086
2010	강남구	논현2동	24,078	11,340	12,738	2,038	940	1,098
2010	강남구	삼성1동	16,623	8,450	8,173	1,393	661	732
2010	강남구	삼성2동	32,736	15,736	17,000	2,224	1,048	1,176
2010	강남구	대치1동	26,825	13,186	13,639	1,593	742	851
2010	강남구	대치4동	22,323	10,523	11,800	1,354	624	730
2010	강남구	역삼1동	37,109	17,709	19,400	2,441	1,166	1,275
2010	강남구	역삼2동	34,948	16,516	18,432	2,343	1,072	1,271
2010	강남구	도곡1동	22,273	10,700	11,573	1,636	712	924
2010	강남구	도곡2동	34,668	16,446	18,222	2,626	1,260	1,366
2010	강남구	개포1동	22,338	10,692	11,646	1,570	661	909
2010	강남구	개포4동	24,727	12,123	12,604	1,669	688	981
2010	강남구	일원본동	23,531	11,420	12,111	1,462	568	894
2010	강남구	일원1동	19,421	9,523	9,898	1,905	714	1,191
2010	강남구	일원2동	19,834	9,750	10,084	1,578	556	1,022
2010	강남구	수서동	17,651	8,078	9,573	2,399	829	1,570
2010	강남구	세곡동	5,193	2,678	2,515	760	358	402
2010	강남구	압구정동	29,811	13,915	15,896	3,303	1,543	1,760
2010	강남구	청담동	32,161	15,513	16,648	2,717	1,232	1,485
2010	강남구	대치2동	45,167	22,992	22,175	2,829	1,281	1,548
2010	강남구	개포2동	35,992	17,312	18,680	2,153	766	1,387
2010	송파구	소계	693,144	339,868	353,276	53,005	22,863	30,142
2010	송파구	풍납1동	20,927	10,310	10,617	1,860	839	1,021
2010	송파구	풍납2동	29,363	14,295	15,068	2,244	1,000	1,244
2010	송파구	거여1동	16,423	8,310	8,113	1,257	543	714
2010	송파구	거여2동	29,739	15,117	14,622	2,632	1,088	1,544
2010	송파구	마천1동	19,813	10,021	9,792	1,975	819	1,156
2010	송파구	마천2동	23,676	12,090	11,586	2,404	998	1,406
2010	송파구	방이1동	17,776	8,728	9,048	1,219	516	703
2010	송파구	방이2동	26,267	12,921	13,346	1,993	890	1,103
2010	송파구	오륜동	20,706	10,076	10,630	1,288	582	706
2010	송파구	오금동	39,725	19,771	19,954	3,224	1,369	1,855
2010	송파구	송파1동	28,276	13,513	14,763	2,058	913	1,145
2010	송파구	송파2동	20,771	10,185	10,586	1,521	638	883
2010	송파구	석촌동	36,435	17,744	18,691	2,586	1,144	1,442
2010	송파구	삼전동	35,799	17,189	18,610	2,226	875	1,351
2010	송파구	가락본동	30,377	15,224	15,153	2,051	888	1,163
2010	송파구	가락1동	15,785	7,779	8,006	1,259	486	773
2010	송파구	가락2동	36,772	18,202	18,570	2,289	966	1,323
2010	송파구	문정1동	23,160	11,410	11,750	1,639	710	929
2010	송파구	문정2동	16,323	7,975	8,348	1,864	881	983
2010	송파구	장지동	37,579	18,511	19,068	2,850	1,073	1,777
2010	송파구	잠실본동	32,189	15,305	16,884	2,129	915	1,214
2010	송파구	잠실4동	31,620	15,458	16,162	2,448	1,047	1,401
2010	송파구	잠실6동	17,758	8,536	9,222	1,553	702	851
2010	송파구	잠실7동	10,952	5,198	5,754	1,263	605	658
2010	송파구	잠실2동	36,960	17,740	19,220	2,206	972	1,234
2010	송파구	잠실3동	37,973	18,260	19,713	2,967	1,404	1,563
2010	강동구	소계	496,939	248,588	248,351	39,413	16,649	22,764
2010	강동구	강일동	21,636	10,600	11,036	1,897	779	1,118
2010	강동구	상일동	28,904	14,488	14,416	1,995	787	1,208
2010	강동구	명일1동	29,124	14,320	14,804	2,167	846	1,321
2010	강동구	명일2동	19,139	9,674	9,465	1,231	500	731
2010	강동구	고덕1동	23,991	12,006	11,985	1,720	613	1,107
2010	강동구	고덕2동	18,840	9,667	9,173	1,578	627	951
2010	강동구	암사2동	16,519	8,145	8,374	1,182	520	662
2010	강동구	암사3동	19,392	9,547	9,845	1,318	548	770
2010	강동구	천호1동	33,358	16,778	16,580	2,834	1,254	1,580
2010	강동구	천호3동	27,768	14,016	13,752	2,682	1,174	1,508
2010	강동구	성내1동	21,901	10,889	11,012	1,655	745	910
2010	강동구	성내2동	27,514	13,687	13,827	2,482	1,108	1,374
2010	강동구	성내3동	25,666	12,860	12,806	1,986	860	1,126
2010	강동구	둔촌1동	20,759	10,717	10,042	1,107	408	699
2010	강동구	둔촌2동	30,132	14,932	15,200	2,399	983	1,416
2010	강동구	암사1동	40,183	20,150	20,033	3,387	1,469	1,918
2010	강동구	천호2동	39,458	19,860	19,598	3,713	1,646	2,067
2010	강동구	길동	52,655	26,252	26,403	4,080	1,782	2,298
