기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	합계	10,124,579	4,957,857	5,166,722	1,365,126	602,107	763,019	1,359,901	599,378	760,523	5,225	2,729	2,496
2017	종로구	164,257	80,094	84,163	26,182	11,441	14,741	26,030	11,356	14,674	152	85	67
2017	중구	134,593	66,337	68,256	21,384	9,332	12,052	21,148	9,206	11,942	236	126	110
2017	용산구	244,444	119,423	125,021	36,882	15,489	21,393	36,488	15,245	21,243	394	244	150
2017	성동구	312,711	154,077	158,634	41,273	17,972	23,301	41,152	17,900	23,252	121	72	49
2017	광진구	372,298	180,645	191,653	43,953	19,565	24,388	43,790	19,479	24,311	163	86	77
2017	동대문구	366,011	181,185	184,826	55,718	24,655	31,063	55,547	24,574	30,973	171	81	90
2017	중랑구	412,780	205,125	207,655	59,262	26,316	32,946	59,189	26,280	32,909	73	36	37
2017	성북구	455,407	221,103	234,304	66,251	28,574	37,677	66,121	28,511	37,610	130	63	67
2017	강북구	328,002	160,252	167,750	56,530	24,311	32,219	56,437	24,268	32,169	93	43	50
2017	도봉구	346,234	169,553	176,681	53,488	23,688	29,800	53,445	23,666	29,779	43	22	21
2017	노원구	558,075	271,025	287,050	74,243	30,827	43,416	74,178	30,799	43,379	65	28	37
2017	은평구	491,202	238,223	252,979	74,559	32,323	42,236	74,400	32,245	42,155	159	78	81
2017	서대문구	325,028	155,250	169,778	49,266	20,776	28,490	48,898	20,600	28,298	368	176	192
2017	마포구	385,783	183,248	202,535	49,615	20,806	28,809	49,356	20,677	28,679	259	129	130
2017	양천구	475,018	234,279	240,739	55,234	24,641	30,593	55,136	24,585	30,551	98	56	42
2017	강서구	608,255	296,175	312,080	76,032	33,539	42,493	75,845	33,427	42,418	187	112	75
2017	구로구	441,559	221,386	220,173	58,794	27,117	31,677	58,213	26,798	31,415	581	319	262
2017	금천구	253,491	129,775	123,716	34,170	15,556	18,614	33,842	15,388	18,454	328	168	160
2017	영등포구	402,024	202,400	199,624	53,981	24,376	29,605	53,299	24,020	29,279	682	356	326
2017	동작구	408,493	198,827	209,666	57,255	24,994	32,261	57,071	24,902	32,169	184	92	92
2017	관악구	520,929	262,006	258,923	70,046	31,523	38,523	69,729	31,374	38,355	317	149	168
2017	서초구	445,401	213,422	231,979	53,205	24,135	29,070	53,119	24,090	29,029	86	45	41
2017	강남구	561,052	268,941	292,111	65,060	29,337	35,723	64,946	29,282	35,664	114	55	59
2017	송파구	671,173	326,407	344,766	76,582	35,274	41,308	76,442	35,204	41,238	140	70	70
2017	강동구	440,359	218,699	221,660	56,161	25,540	30,621	56,080	25,502	30,578	81	38	43
