기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2014	합계	10,369,593	5,109,013	5,260,580	1,221,616	536,758	684,858	1,216,529	534,294	682,235	5,087	2,464	2,623
2014	종로구	165,344	81,439	83,905	24,537	10,764	13,773	24,376	10,674	13,702	161	90	71
2014	중구	136,227	67,952	68,275	19,960	8,591	11,369	19,740	8,485	11,255	220	106	114
2014	용산구	249,914	122,047	127,867	34,896	14,667	20,229	34,571	14,479	20,092	325	188	137
2014	성동구	303,891	151,149	152,742	36,684	15,959	20,725	36,564	15,909	20,655	120	50	70
2014	광진구	377,375	185,011	192,364	38,974	17,373	21,601	38,808	17,295	21,513	166	78	88
2014	동대문구	376,319	187,638	188,681	50,915	22,453	28,462	50,756	22,380	28,376	159	73	86
2014	중랑구	423,411	211,178	212,233	51,995	22,873	29,122	51,919	22,839	29,080	76	34	42
2014	성북구	475,961	233,009	242,952	62,066	26,834	35,232	61,929	26,772	35,157	137	62	75
2014	강북구	338,410	166,553	171,857	50,841	22,096	28,745	50,755	22,058	28,697	86	38	48
2014	도봉구	355,712	175,306	180,406	46,471	20,514	25,957	46,438	20,494	25,944	33	20	13
2014	노원구	586,056	285,697	300,359	66,480	27,206	39,274	66,411	27,178	39,233	69	28	41
2014	은평구	503,243	245,946	257,297	67,002	29,226	37,776	66,864	29,163	37,701	138	63	75
2014	서대문구	320,861	155,477	165,384	45,309	19,126	26,183	44,982	18,982	26,000	327	144	183
2014	마포구	395,830	190,717	205,113	47,360	19,984	27,376	47,096	19,859	27,237	264	125	139
2014	양천구	490,708	243,091	247,617	48,175	21,001	27,174	48,068	20,944	27,124	107	57	50
2014	강서구	591,653	289,841	301,812	64,287	28,003	36,284	64,117	27,903	36,214	170	100	70
2014	구로구	457,131	230,091	227,040	51,187	23,545	27,642	50,615	23,257	27,358	572	288	284
2014	금천구	258,030	132,476	125,554	29,553	13,392	16,161	29,243	13,230	16,013	310	162	148
2014	영등포구	421,436	212,261	209,175	49,829	22,473	27,356	49,184	22,163	27,021	645	310	335
2014	동작구	419,261	205,962	213,299	52,327	22,987	29,340	52,147	22,906	29,241	180	81	99
2014	관악구	531,960	268,683	263,277	62,577	28,282	34,295	62,251	28,137	34,114	326	145	181
2014	서초구	454,288	219,109	235,179	47,469	21,604	25,865	47,346	21,551	25,795	123	53	70
2014	강남구	583,446	280,082	303,364	57,444	25,737	31,707	57,291	25,668	31,623	153	69	84
2014	송파구	671,794	328,308	343,486	65,025	29,518	35,507	64,891	29,460	35,431	134	58	76
2014	강동구	481,332	239,990	241,342	50,253	22,550	27,703	50,167	22,508	27,659	86	42	44
