기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	합계	10,049,607	4,910,849	5,138,758	1,416,131	625,040	791,091	1,410,297	621,950	788,347	5,834	3,090	2,744
2018	종로구	163,026	79,156	83,870	26,742	11,779	14,963	26,572	11,682	14,890	170	97	73
2018	중구	135,633	66,674	68,959	22,005	9,635	12,370	21,750	9,498	12,252	255	137	118
2018	용산구	245,090	119,766	125,324	37,640	15,892	21,748	37,212	15,630	21,582	428	262	166
2018	성동구	316,463	155,091	161,372	42,767	18,612	24,155	42,629	18,531	24,098	138	81	57
2018	광진구	371,063	179,527	191,536	45,619	20,291	25,328	45,432	20,200	25,232	187	91	96
2018	동대문구	364,338	179,774	184,564	57,165	25,347	31,818	56,991	25,271	31,720	174	76	98
2018	중랑구	408,147	202,448	205,699	61,830	27,516	34,314	61,748	27,474	34,274	82	42	40
2018	성북구	447,687	216,495	231,192	67,782	29,163	38,619	67,646	29,097	38,549	136	66	70
2018	강북구	322,915	157,522	165,393	58,196	25,034	33,162	58,103	24,986	33,117	93	48	45
2018	도봉구	341,649	167,043	174,606	55,964	24,854	31,110	55,926	24,831	31,095	38	23	15
2018	노원구	548,160	265,870	282,290	77,096	32,280	44,816	77,032	32,254	44,778	64	26	38
2018	은평구	487,666	235,600	252,066	77,420	33,525	43,895	77,263	33,446	43,817	157	79	78
2018	서대문구	323,080	153,816	169,264	50,456	21,334	29,122	50,045	21,128	28,917	411	206	205
2018	마포구	386,359	182,573	203,786	50,833	21,270	29,563	50,544	21,122	29,422	289	148	141
2018	양천구	468,145	230,457	237,688	58,045	25,907	32,138	57,941	25,855	32,086	104	52	52
2018	강서구	603,611	293,289	310,322	79,660	35,261	44,399	79,445	35,128	44,317	215	133	82
2018	구로구	438,486	219,949	218,537	61,801	28,372	33,429	61,105	27,976	33,129	696	396	300
2018	금천구	254,021	130,398	123,623	35,739	16,301	19,438	35,354	16,092	19,262	385	209	176
2018	영등포구	403,600	203,319	200,281	55,673	25,178	30,495	54,906	24,768	30,138	767	410	357
2018	동작구	409,385	198,458	210,927	59,479	25,930	33,549	59,265	25,824	33,441	214	106	108
2018	관악구	520,040	260,742	259,298	72,249	32,306	39,943	71,888	32,138	39,750	361	168	193
2018	서초구	438,163	209,977	228,186	54,751	24,797	29,954	54,663	24,753	29,910	88	44	44
2018	강남구	547,453	262,203	285,250	67,085	30,105	36,980	66,957	30,036	36,921	128	69	59
2018	송파구	673,507	326,849	346,658	81,364	37,554	43,810	81,211	37,477	43,734	153	77	76
2018	강동구	431,920	213,853	218,067	58,770	26,797	31,973	58,669	26,753	31,916	101	44	57
