기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	합계	10,010,983	4,877,725	5,133,258	1,485,272	656,595	828,677	1,478,664	653,108	825,556	6,608	3,487	3,121
2019	종로구	161,869	78,215	83,654	27,519	12,162	15,357	27,318	12,049	15,269	201	113	88
2019	중구	136,488	66,823	69,665	23,275	10,247	13,028	22,974	10,081	12,893	301	166	135
2019	용산구	245,185	119,599	125,586	38,791	16,466	22,325	38,346	16,196	22,150	445	270	175
2019	성동구	308,979	150,861	158,118	43,947	19,181	24,766	43,796	19,100	24,696	151	81	70
2019	광진구	366,972	176,917	190,055	47,902	21,360	26,542	47,681	21,249	26,432	221	111	110
2019	동대문구	363,023	178,490	184,533	59,350	26,397	32,953	59,170	26,316	32,854	180	81	99
2019	중랑구	402,024	199,006	203,018	65,164	29,136	36,028	65,065	29,087	35,978	99	49	50
2019	성북구	454,744	219,099	235,645	70,850	30,498	40,352	70,699	30,429	40,270	151	69	82
2019	강북구	317,695	154,638	163,057	60,577	26,032	34,545	60,474	25,981	34,493	103	51	52
2019	도봉구	335,631	163,961	171,670	58,714	26,286	32,428	58,664	26,258	32,406	50	28	22
2019	노원구	537,303	259,810	277,493	80,923	34,024	46,899	80,854	33,996	46,858	69	28	41
2019	은평구	484,546	233,360	251,186	80,738	34,987	45,751	80,567	34,899	45,668	171	88	83
2019	서대문구	323,171	153,215	169,956	52,074	22,030	30,044	51,645	21,817	29,828	429	213	216
2019	마포구	385,925	181,303	204,622	52,429	21,954	30,475	52,104	21,786	30,318	325	168	157
2019	양천구	462,285	227,019	235,266	61,264	27,446	33,818	61,147	27,386	33,761	117	60	57
2019	강서구	598,273	289,691	308,582	84,077	37,157	46,920	83,839	37,014	46,825	238	143	95
2019	구로구	439,371	219,602	219,769	65,779	30,089	35,690	64,932	29,619	35,313	847	470	377
2019	금천구	251,820	128,954	122,866	37,660	17,184	20,476	37,196	16,937	20,259	464	247	217
2019	영등포구	400,986	200,986	200,000	57,872	26,142	31,730	56,957	25,654	31,303	915	488	427
2019	동작구	408,912	197,706	211,206	62,226	27,087	35,139	61,994	26,970	35,024	232	117	115
2019	관악구	517,334	259,194	258,140	75,194	33,591	41,603	74,787	33,390	41,397	407	201	206
2019	서초구	435,107	208,181	226,926	57,136	25,886	31,250	57,036	25,835	31,201	100	51	49
2019	강남구	550,209	263,345	286,864	71,025	31,935	39,090	70,896	31,869	39,027	129	66	63
2019	송파구	682,741	330,412	352,329	87,334	40,350	46,984	87,182	40,272	46,910	152	78	74
2019	강동구	440,390	217,338	223,052	63,452	28,968	34,484	63,341	28,918	34,423	111	50	61
