기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012	합계	10,442,426	5,159,665	5,282,761	1,110,995	484,345	626,650	1,105,583	481,951	623,632	5,412	2,394	3,018
2012	종로구	173,148	85,997	87,151	23,868	10,430	13,438	23,730	10,360	13,370	138	70	68
2012	중구	140,807	70,762	70,045	18,875	8,020	10,855	18,690	7,934	10,756	185	86	99
2012	용산구	255,294	124,708	130,586	33,027	13,848	19,179	32,786	13,711	19,075	241	137	104
2012	성동구	306,868	153,272	153,596	34,180	14,736	19,444	34,056	14,689	19,367	124	47	77
2012	광진구	384,269	189,367	194,902	35,759	15,852	19,907	35,539	15,745	19,794	220	107	113
2012	동대문구	375,683	187,851	187,832	46,795	20,674	26,121	46,625	20,604	26,021	170	70	100
2012	중랑구	423,655	211,708	211,947	46,476	20,281	26,195	46,402	20,252	26,150	74	29	45
2012	성북구	490,639	241,162	249,477	58,142	25,036	33,106	58,000	24,973	33,027	142	63	79
2012	강북구	346,493	171,099	175,394	46,222	20,258	25,964	46,147	20,224	25,923	75	34	41
2012	도봉구	364,454	180,023	184,431	42,267	18,460	23,807	42,230	18,445	23,785	37	15	22
2012	노원구	600,829	293,616	307,213	61,218	24,670	36,548	61,150	24,641	36,509	68	29	39
2012	은평구	505,902	248,150	257,752	60,776	26,565	34,211	60,649	26,500	34,149	127	65	62
2012	서대문구	324,733	157,969	166,764	42,088	17,831	24,257	41,756	17,683	24,073	332	148	184
2012	마포구	393,576	190,514	203,062	44,283	18,800	25,483	44,027	18,690	25,337	256	110	146
2012	양천구	500,533	248,683	251,850	43,514	18,515	24,999	43,392	18,456	24,936	122	59	63
2012	강서구	573,794	282,185	291,609	55,821	23,859	31,962	55,641	23,767	31,874	180	92	88
2012	구로구	454,478	229,130	225,348	45,252	20,526	24,726	44,579	20,234	24,345	673	292	381
2012	금천구	260,734	133,834	126,900	26,848	11,968	14,880	26,476	11,808	14,668	372	160	212
2012	영등포구	426,876	215,084	211,792	46,237	20,726	25,511	45,417	20,398	25,019	820	328	492
2012	동작구	416,268	204,479	211,789	47,185	20,775	26,410	47,007	20,702	26,305	178	73	105
2012	관악구	540,520	273,640	266,880	56,620	25,517	31,103	56,238	25,366	30,872	382	151	231
2012	서초구	439,998	213,011	226,987	41,763	19,014	22,749	41,649	18,960	22,689	114	54	60
2012	강남구	569,997	274,124	295,873	50,348	22,374	27,974	50,206	22,308	27,898	142	66	76
2012	송파구	680,150	333,060	347,090	58,490	25,900	32,590	58,341	25,835	32,506	149	65	84
2012	강동구	492,728	246,237	246,491	44,941	19,710	25,231	44,850	19,666	25,184	91	44	47
