기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2015	합계	10,297,138	5,063,550	5,233,588	1,267,563	558,202	709,361	1,262,436	555,660	706,776	5,127	2,542	2,585
2015	종로구	163,822	80,531	83,291	24,892	10,909	13,983	24,752	10,829	13,923	140	80	60
2015	중구	134,329	66,755	67,574	20,302	8,765	11,537	20,081	8,663	11,418	221	102	119
2015	용산구	247,909	121,027	126,882	35,715	15,059	20,656	35,352	14,837	20,515	363	222	141
2015	성동구	305,065	151,459	153,606	38,164	16,608	21,556	38,025	16,540	21,485	139	68	71
2015	광진구	375,180	183,436	191,744	40,368	18,046	22,322	40,205	17,964	22,241	163	82	81
2015	동대문구	373,824	185,827	187,997	52,490	23,266	29,224	52,331	23,191	29,140	159	75	84
2015	중랑구	418,620	208,393	210,227	54,095	23,932	30,163	54,021	23,895	30,126	74	37	37
2015	성북구	469,560	229,183	240,377	63,281	27,321	35,960	63,132	27,258	35,874	149	63	86
2015	강북구	334,426	164,337	170,089	52,598	22,760	29,838	52,503	22,719	29,784	95	41	54
2015	도봉구	353,241	173,804	179,437	48,590	21,509	27,081	48,553	21,488	27,065	37	21	16
2015	노원구	578,221	281,538	296,683	68,909	28,412	40,497	68,843	28,380	40,463	66	32	34
2015	은평구	502,578	244,964	257,614	69,753	30,394	39,359	69,610	30,326	39,284	143	68	75
2015	서대문구	323,105	156,130	166,975	46,758	19,736	27,022	46,417	19,581	26,836	341	155	186
2015	마포구	398,351	190,957	207,394	48,598	20,397	28,201	48,348	20,284	28,064	250	113	137
2015	양천구	489,010	242,074	246,936	50,398	22,227	28,171	50,282	22,161	28,121	116	66	50
2015	강서구	595,691	291,216	304,475	67,950	29,797	38,153	67,792	29,702	38,090	158	95	63
2015	구로구	454,604	228,201	226,403	53,719	24,736	28,983	53,146	24,439	28,707	573	297	276
2015	금천구	256,167	131,346	124,821	31,070	14,102	16,968	30,745	13,939	16,806	325	163	162
2015	영등포구	417,811	210,388	207,423	51,481	23,216	28,265	50,839	22,899	27,940	642	317	325
2015	동작구	412,774	202,165	210,609	53,610	23,575	30,035	53,425	23,480	29,945	185	95	90
2015	관악구	529,031	266,773	262,258	64,985	29,295	35,690	64,677	29,158	35,519	308	137	171
2015	서초구	451,258	217,036	234,222	49,280	22,390	26,890	49,171	22,348	26,823	109	42	67
2015	강남구	581,760	279,209	302,551	60,330	27,083	33,247	60,191	27,022	33,169	139	61	78
2015	송파구	667,480	325,950	341,530	68,292	31,215	37,077	68,147	31,150	36,997	145	65	80
2015	강동구	463,321	230,851	232,470	51,935	23,452	28,483	51,848	23,407	28,441	87	45	42
