기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2013	합계	10,388,055	5,126,351	5,261,704	1,167,177	511,164	656,013	1,161,708	508,729	652,979	5,469	2,435	3,034
2013	종로구	167,867	83,211	84,656	23,997	10,546	13,451	23,853	10,469	13,384	144	77	67
2013	중구	137,990	69,128	68,862	19,346	8,248	11,098	19,152	8,150	11,002	194	98	96
2013	용산구	251,925	122,974	128,951	34,017	14,290	19,727	33,775	14,153	19,622	242	137	105
2013	성동구	306,571	152,809	153,762	35,421	15,342	20,079	35,296	15,291	20,005	125	51	74
2013	광진구	381,439	187,584	193,855	37,623	16,723	20,900	37,413	16,617	20,796	210	106	104
2013	동대문구	376,445	188,167	188,278	49,097	21,602	27,495	48,911	21,523	27,388	186	79	107
2013	중랑구	421,237	210,390	210,847	48,998	21,496	27,502	48,937	21,477	27,460	61	19	42
2013	성북구	485,347	238,228	247,119	60,499	26,163	34,336	60,353	26,105	34,248	146	58	88
2013	강북구	341,921	168,546	173,375	48,547	21,288	27,259	48,465	21,252	27,213	82	36	46
2013	도봉구	360,609	177,925	182,684	44,469	19,546	24,923	44,434	19,531	24,903	35	15	20
2013	노원구	594,027	289,967	304,060	63,810	25,905	37,905	63,731	25,870	37,861	79	35	44
2013	은평구	508,111	248,722	259,389	64,328	28,035	36,293	64,188	27,973	36,215	140	62	78
2013	서대문구	324,067	157,314	166,753	43,850	18,554	25,296	43,529	18,410	25,119	321	144	177
2013	마포구	391,098	188,874	202,224	45,758	19,329	26,429	45,508	19,225	26,283	250	104	146
2013	양천구	496,934	246,723	250,211	46,026	19,867	26,159	45,896	19,807	26,089	130	60	70
2013	강서구	575,236	282,287	292,949	59,530	25,756	33,774	59,330	25,651	33,679	200	105	95
2013	구로구	452,168	227,694	224,474	48,027	21,965	26,062	47,367	21,681	25,686	660	284	376
2013	금천구	258,254	132,742	125,512	28,310	12,720	15,590	27,948	12,561	15,387	362	159	203
2013	영등포구	421,577	212,417	209,160	48,065	21,621	26,444	47,258	21,288	25,970	807	333	474
2013	동작구	421,487	207,223	214,264	50,062	22,020	28,042	49,863	21,937	27,926	199	83	116
2013	관악구	535,128	270,512	264,616	59,705	26,944	32,761	59,333	26,799	32,534	372	145	227
2013	서초구	446,541	215,771	230,770	44,674	20,346	24,328	44,554	20,292	24,262	120	54	66
2013	강남구	569,152	273,583	295,569	53,461	23,933	29,528	53,300	23,853	29,447	161	80	81
2013	송파구	674,955	330,030	344,925	61,745	27,700	34,045	61,592	27,635	33,957	153	65	88
2013	강동구	487,969	243,530	244,439	47,812	21,225	26,587	47,722	21,179	26,543	90	46	44
